"ISBN","Titel","Beschreibung","Veroeffentlichungsdatum","Auflage","Sprache","Genre"
"9783000001000","Das Echo der stillen Stadt","Eine Archivarin entdeckt verschluesselte Botschaften in alten Stadtplaenen. Ihre Suche fuehrt sie zu einem lange verborgenen Geheimnis.","2021-03-18",2,de-DE,"Krimi"
"9783000001017","Jenseits des kupfernen Waldes","Ein junger Kartograf betritt einen Wald dessen Wege sich jede Nacht veraendern. Dort muss er ein verschwundenes Dorf finden.","2019-09-06",1,de-DE,"Fantasy"
"9783000001024","Logik im Alltag","Das Buch erklaert grundlegende Denkfehler anhand leicht verstaendlicher Beispiele. Praktische Uebungen helfen bei besseren Entscheidungen.","2023-01-24",3,de-DE,"Sachbuch"
"9783000001031","Die letzte Fahrt nach Nordhafen","Eine Zugreise durch ein eingeschneites Land wird fuer die Fahrgaeste zum Kampf gegen einen unbekannten Verfolger.","2020-11-12",2,de-DE,"Thriller"
"9783000001048","Sommer unter fremden Sternen","Vier Jugendliche bauen gemeinsam ein altes Observatorium wieder auf. Dabei lernen sie mehr ueber Freundschaft als ueber den Himmel.","2024-05-30",1,de-DE,"Jugendbuch"
"9781000002003","The Glass Horizon","A pilot receives signals from a planet believed to be uninhabited. The mission to investigate challenges everything the crew knows.","2022-02-14",1,en-US,"Science-Fiction"
"9781000002010","Beneath the Quiet Bridge","A detective investigates a series of coded messages hidden beneath an abandoned bridge. Each clue points toward a forgotten trial.","2018-07-09",3,en-US,"Crime"
"9781000002027","The Orchard of Borrowed Names","A family inherits an orchard where every tree carries the name of a missing person. They begin uncovering the history of the surrounding valley.","2021-10-21",2,en-US,"Novel"
"9781000002034","Practical Systems Thinking","The book introduces methods for understanding complex organizations and recurring problems. Each chapter includes a fictional case study.","2025-01-16",1,en-US,"Nonfiction"
"9781000002041","The Crown of Ember Bay","A young sailor must unite rival island clans before an ancient volcano awakens. Her only guide is a damaged royal map.","2020-04-03",2,en-US,"Fantasy"
"9788400003005","La ciudad de los relojes vacios","Una restauradora encuentra mensajes ocultos dentro de antiguos relojes. Las pistas revelan una conspiracion relacionada con la historia de la ciudad.","2019-06-11",2,es-ES,"Misterio"
"9788400003012","El jardin detras del invierno","Una familia regresa a una casa abandonada y descubre un jardin que florece durante las noches mas frias.","2023-12-01",1,es-ES,"Novela"
"9788400003029","Mapas para un mundo perdido","Un grupo de exploradores busca una region que desaparecio de todos los mapas oficiales. El viaje transforma sus ideas sobre la memoria y la verdad.","2022-08-19",2,es-ES,"Aventura"
"9788400003036","La sombra del ultimo tren","Una periodista investiga la desaparicion de varios pasajeros de una linea ferroviaria cerrada hace veinte anos.","2020-10-28",3,es-ES,"Thriller"
"9788400003043","Ideas simples para equipos complejos","El libro presenta herramientas practicas para mejorar la comunicacion y la organizacion en equipos de trabajo.","2024-02-07",1,es-ES,"Ensayo"
"9788700004009","Huset ved den tavse fjord","En arkitekt arver et hus hvor rummene langsomt skifter placering. Hun opdager at huset skjuler familiens glemte historie.","2021-11-05",2,da-DK,"Roman"
"9788700004016","Stjerner over graenselandet","To unge venner rejser gennem et opdelt kongerige for at finde et gammelt astronomisk instrument.","2018-04-17",1,da-DK,"Fantasy"
"9788700004023","Den niende besked","En efterforsker modtager otte anonyme breve og venter paa det sidste. Hvert brev beskriver en forbrydelse foer den sker.","2023-03-23",2,da-DK,"Krimi"
"9788700004030","Historien om den skjulte havn","En historiker rekonstruerer livet i en handelsby som forsvandt fra de officielle arkiver.","2020-06-15",3,da-DK,"Historisk roman"
"9788700004047","Mennesker og digitale vaner","Bogen forklarer hvordan digitale tjenester paavirker daglige valg. Den giver konkrete metoder til mere bevidst teknologibrug.","2025-02-20",1,da-DK,"Sachbuch"
